ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
1258514,משק יעקבס,משק יעקבס,"1258514  ריקוטה 2 ק""ג",ברקודים חדשים,מסמן על אריזות
1258545,משק יעקבס,משק יעקבס,1258545   קרם פרש 500 גרם,ברקודים חדשים,מסמן על אריזות
1258576,משק יעקבס,משק יעקבס,1258576  גאודה  ואקום 0.200 גרם,ברקודים חדשים,מסמן על אריזות
1258590,משק יעקבס,משק יעקבס,1258590   מנצגו,ברקודים חדשים,מסמן על אריזות
1258620,משק יעקבס,משק יעקבס,1258620   מנצגו ואקום  0.180,ברקודים חדשים,מסמן על אריזות
1258668,משק יעקבס,משק יעקבס,1258668   עז מה 250.0 גרם,ברקודים חדשים,מסמן על אריזות
1258682,משק יעקבס,משק יעקבס,"1258682    יוגורט עזים 500.0 מ""ל",ברקודים חדשים,מסמן על אריזות
1258729,משק יעקבס,משק יעקבס,1258729   לבנה עזים 250.0 גרם,ברקודים חדשים,מסמן על אריזות
1258798,משק יעקבס,משק יעקבס,"1258798  פטה כבשים 0.250ג""ר",ברקודים חדשים,מסמן על אריזות
1258804,משק יעקבס,משק יעקבס,1258804  קשקבל ואקום 0.18גרם,ברקודים חדשים,מסמן על אריזות
1258811,משק יעקבס,משק יעקבס,1258811  כדורי מוצרלה בייבי (2),ברקודים חדשים,מסמן על אריזות
1258842,משק יעקבס,משק יעקבס,1258842  קפרינו,ברקודים חדשים,מסמן על אריזות
1258859,משק יעקבס,משק יעקבס,1258859   עמית מורבייה,ברקודים חדשים,מסמן על אריזות
1258866,משק יעקבס,משק יעקבס,1258866   פקורינו ואקום 0.180,ברקודים חדשים,מסמן על אריזות
1258958,משק יעקבס,משק יעקבס,1258958  מוצרלה מגורדת 0.200 גרם,ברקודים חדשים,מסמן על אריזות
1258989,משק יעקבס,משק יעקבס,1258989קממברט בקר בייבי-מעדניה,ברקודים חדשים,מסמן על אריזות
2239185,פרי גליל,פרי הגליל-1,אפונה 800פג,ברקודים חדשים,מסמן על רב המוצרים
2239185,פרי גליל,פרי הגליל-1,אפונה 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2239185,פרי גליל,פרי הגליל-1,אפונה 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
2239215,פרי גליל,פרי הגליל-1,אפונה וגזר 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
2239215,פרי גליל,פרי הגליל-1,אפונה וגזר 800פג מחפוד,ברקודים חדשים,מסמן על רב המוצרים
2239215,פרי גליל,פרי הגליל-1,אפונה וגזר 800פג,ברקודים חדשים,מסמן על רב המוצרים
2239277,פרי גליל,פרי הגליל-1,ג .גמדי 800פג,ברקודים חדשים,מסמן על רב המוצרים
